MAILBOX_POST_ALL_DELETE_BUTTON	Delete All
MAILBOX_POST_ALL_RECEIVE	Receive All
MAILBOX_POST_READ_BLOCK	Block
MAILBOX_POST_READ_DELETE	Delete
MAILBOX_POST_READ_FROM	From
MAILBOX_POST_READ_MAIN_TITLE	Message
MAILBOX_POST_READ_RECV	Receive
MAILBOX_POST_READ_TITLE	Subject
MAILBOX_POST_SEND_TITLE	Message
MAILBOX_POST_WRITE_BUTTON_TEXT	Send
MAILBOX_POST_WRITE_CLOSE_TEXT	Close
MAILBOX_POST_WRITE_CONFIRM_TEXT	Check Recipient
MAILBOX_POST_WRITE_SEND_TEXT	Send
MAILBOX_POST_WRITE_TITLE	Subject
MAILBOX_POST_WRITE_TO	To
MAILBOX_TITLE	Inbox
